gene,microarray_g,rnaseq_g
CCDC6,-1.7400249345892125,-1.037467076498857
SUCO,-1.7003841824522168,-0.8311923067356985
ALB,-1.5815640744750723,-1.1772075422007526
TNNI1,-1.5794109375619927,-0.8017670241889517
CERS6,-1.5675023187506336,-1.2079210218745038
FBXO3,-1.5578069663175822,-1.3238585278470951
BAIAP2,-1.5859859115232888,-1.0084213949939824
AVPI1,-1.5399066514657174,-0.8154824160011411
TIPARP,-1.523536666170194,-0.8111986469326219
SIK3,-1.50658166613748,-0.9314040813308888
EGF,-1.486573248138952,-1.1246610739374665
WT1,-1.4484731513858131,-1.2491533995267678
PPL,1.39795936243949,0.9579766718520484
SPAG16,-1.4673769407504562,-0.9915640032879888
NDUFAF7,1.3824011462395058,-1.2528836074760863
CDKN1B,-1.9120450075566835,-0.7716530651557949
RHOBTB2,-1.3537539648456096,-0.914098520868375
DNMT3B,1.4454768851895,-0.8565543569635606
CITED2,-1.3161011590608929,-0.7132026759618894
KIF16B,-1.3067947834619622,-1.3439108820426773
MME,-1.2940377565593106,-1.188092276835625
ENPEP,-1.2678957222169327,-1.2983641381333506
GAN,1.218904153774688,-0.9960764801253794
SLC4A7,1.199433430810119,0.7396913787587549
KRCC1,-1.1900863494964138,-0.7735393687266293
AFM,-1.186913810987099,-1.0191027601783804
MXI1,-1.1819920199477667,-0.9786348557307004
MTMR6,-1.1558492511483485,-0.7356367921625551
CHI3L1,-1.2342442097967978,-1.357327428493517
OXSR1,-1.1439292920184438,-1.350800592158539
TYRO3,-1.1385459963868798,-1.3515248746574486
BCL2L13,-1.6768869261477983,-0.8092635491567339
AASS,-1.6091812832969403,-1.1157807694806938
DIP2C,-1.1038748418770783,-1.531954447731007
METAP1,-1.099836930855585,-1.3010437617772084
GSTA4,-1.2898237455146804,-0.7767800161995148
COMMD8,-1.289102978308757,-0.8098094840928096
SALL1,-1.606708003586932,-0.7472044955410604
OSBPL1A,-1.0805555687407329,-0.9170158348786622
PELI2,-1.0770040738812785,-0.8608461204971396
FBXL5,-1.0358941742673091,-1.115574413417543
BHMT,-1.0333652278493832,-0.9161459581090596
DACH1,-1.7435814915940873,-1.757760404194309
FOXO4,-1.0127668763933129,-0.925165008629407
SH3YL1,-1.2345811300911276,-1.0476159940383878
MAP4K3,-0.9903123575084178,-1.5698026783111911
EPB41L5,-1.9061380076569945,-1.2118171825026351
PCYOX1,-1.1348730500064863,-1.1788514096381486
FGF1,-1.3835377097708532,-0.8515060743321596
TOB1,-0.960567947508172,-0.8668062369307405
WAC,-0.9482131237135656,-0.7908030223181799
NMRK1,-0.9875809185523658,-1.231052961421955
GOLIM4,-0.94109962321954,-1.8119510447675984
EHD3,-1.2613910323855608,-1.2765069609711504
FLT1,-1.244537034618474,-1.5313148542965844
RASSF8,-0.9213715835889348,-1.120556950884161
LRRC2,-1.957294474021771,-1.2476005067081846
POLI,-0.9102227510876072,-1.068118977143616
DPP6,-2.1627627484245355,-1.437385393771981
MPPED2,0.9004690858231661,-1.0325703919695275
CLIC5,-1.138788228438496,-1.2937067419393986
CD58,1.4012229119944206,-1.382015447579527
FXR1,-0.8954144909046236,-1.0360798635367316
RFC1,-1.5756528812482598,-1.0476252123719094
ICA1,0.8862842843745652,-0.9837153681646494
PTPRD,-0.978546711523572,-0.7734321040490839
EBAG9,-0.8828615152341284,-0.7315228680613594
MYRIP,-1.52214657687359,-0.7402561307626626
CDH2,0.8756934948665123,-0.9640471533266646
R3HDM2,-1.2163192049285576,-0.7706672514092978
CALB1,-0.8719458390371757,-1.2787415365161248
AZI2,-0.8669978527944135,-0.9233548165738508
IMPACT,-1.4876774945193798,-0.9842365376490426
RGS9,-0.8653520625547505,-0.9445323826245836
THOC1,1.3178188494533254,-1.3304285752398064
BST1,-1.9015083605646024,-0.8586093075714347
PIPOX,-1.0425375720072878,-0.8898287234742253
IQSEC2,-0.8542118675242326,-0.8645432413930018
USP25,-1.0696419209178871,-0.7660737422630989
LILRB5,1.097965101321999,1.222711743630451
KTN1,-0.8954907555869346,-1.0043003844747551
CYP39A1,-1.558523164762808,-0.826208290734311
SGCB,-0.8555035060064821,-1.1724726077653242
PTPRO,-0.8302390468336658,-1.4633927282238934
NAP1L2,-1.8018018450775328,-1.2803909655987389
GPD1L,-1.2059890950497594,-1.299049768520863
CEP57,0.8175147632155099,-1.2904301081098468
FBXO21,-2.2616187459725072,-1.446919640607195
HTRA1,-1.503950995927647,-1.1215898962530195
SPATA6,-0.8084751446997012,-1.1115813459885668
MNAT1,-0.9883975964043508,-1.0027843203466136
IQCH,-1.3126653307554046,-0.7870362427373204
PLCE1,-1.1968132225760586,-1.351368303405943
OPTN,-0.7979019644020485,-1.2241198840904668
C1orf115,-1.416453644342687,-0.8760609079703019
SLC7A9,-0.9079454379373244,-0.8031277214333785
FXR2,-0.7860262558865112,-0.846638172469308
HBP1,0.7861970143455406,-0.9773658722074188
TUBGCP3,-0.7872568015085006,-1.069568508330586
ESPL1,-0.7844183113930318,-0.8042979900583207
DLG2,-1.617723382935023,-1.2406993539383266
PLCL1,-0.7749306123236096,-1.29759409887944
FERMT2,-1.5027857425599689,-1.637556432115815
COG7,-0.7665107110033361,-1.0523179986773392
KAT2B,-1.6890471954898707,-1.0654167898313058
TPPP3,-1.6382295466556225,-1.039885005672185
NDNF,-1.25962736681448,-1.4157865853705898
AGTPBP1,-0.7572242230306316,-0.7298205469462781
TACC2,-1.8987675174248893,-1.7186190138451325
SLC39A14,-1.2315314482760853,-1.1055693144596392
ERLIN2,-1.065549037175818,-0.7537794525608005
STAC,-0.749563251175295,-0.8329973928397748
FRMD1,-1.123181586364871,-1.1586620112302195
ARSF,-1.1533424724065608,-0.9496960839788414
DSP,0.7315488402436675,-0.725671981276288
ORC2,0.7306783960827625,-1.3011222367852913
SECISBP2L,-0.8853598259357617,-0.9205988172456838
ANXA9,-1.402483331933345,-0.9772313917052144
CDA,-1.0807348399978147,-0.8500023138076096
ITGB4,0.7174992498225445,0.7295330909294838
OSBPL9,-1.5412332235976582,-1.1967960140547018
MMP11,1.842807770112753,1.8220285714568567
ECM2,-1.1078032386922392,-0.7035771973950796
ITPR2,0.7885589227854608,-1.127565161299262
GOLGA5,-0.7158533323118084,-0.7847803357929426
NEDD4,0.7137307380628587,-0.951460564127468
NDUFS1,-0.7115978542980361,-1.020793611540456
DYRK2,1.7793211609776936,1.6720652734315815
P4HA1,-0.7036697691835181,-1.1230846572675923
MAGI2,-1.5625029287976246,-1.5714694227420185
MAP2K6,0.6947962182027718,-0.9273331986522206
PSEN2,-0.6913800983718403,-0.8764049950690719
FRY,-1.6017667042536978,-1.082650584618838
RTF1,-0.8512658753972171,-0.844767901132578
BAG3,-1.0842003672531475,-1.1063803780861352
DIO1,-0.8535316503808461,-0.93139067099592
ADD3,-0.6866605787396326,-0.9619083669684412
TCEAL2,-1.2996450382154778,-1.554590713734229
GHR,-1.9311030011232104,-1.2703778451399554
KLK7,-1.3990583990286647,-0.8870810499526455
SLC17A5,-1.4069921709994817,-1.2189483908616687
