gene,AveExpr,logFC,t,P.Value,n_dn,n_ctrl,adj.P.Val
FOS,6.228027704918034,-3.7005304756097566,-15.802929835604202,2.4188763766184828e-23,41,20,4.836173692235396e-19
MIR4521,6.440577704918035,3.310796878048783,15.720953973369575,3.1297030850900474e-23,41,20,4.836173692235396e-19
DUSP1,7.400224098360659,-1.9531104999999975,-15.570898820423857,5.026166897737473e-23,41,20,5.177789599152553e-19
SNORD3D,8.70966918032787,-3.0360627195121923,-12.884477788566805,3.908757368364394e-19,41,20,3.02000366173254e-15
MIR4256,6.852178852459016,2.6723822560975607,12.750139122848703,6.26757408550504e-19,41,20,3.204329328898214e-15
SNORD3B-2,9.333000655737704,-3.1069893902439034,-12.67630112714066,8.13271616884888e-19,41,20,3.204329328898214e-15
SNORD3B-1,9.333000655737704,-3.1069893902439034,-12.67630112714066,8.13271616884888e-19,41,20,3.204329328898214e-15
OTTHUMG00000018564,9.55412393442623,1.2918913780487777,12.670720673683594,8.29465608515959e-19,41,20,3.204329328898214e-15
SNORD3C,8.933242786885243,-2.971297670731712,-12.599344445751486,1.0677550891042114e-18,41,20,3.666552336529518e-15
HIST2H2AA4,11.280837377049183,-2.8317503658536616,-12.351008774523047,2.58371444658799e-18,41,20,7.984969497180185e-15
PDK4,9.863261639344262,-3.2745936097560993,-12.295759867087707,3.1483764654550588e-18,41,20,8.845506787717145e-15
SNORD3A,9.906492131147541,-3.0419031707317075,-12.21968956141351,4.135743546938635e-18,41,20,1.0651262859844877e-14
NFATC3,7.522164426229509,-0.5166232439024396,-11.966712932748015,1.029898299007972e-17,41,20,2.4483851485262596e-14
CXCR2,5.143417704918034,-1.9150917195121933,-11.815795938635766,1.7816797047091266e-17,41,20,3.933057948145397e-14
HSD17B14,6.2751783606557385,-1.8997060975609754,-11.702821518544226,2.690423960090355e-17,41,20,5.543170165772828e-14
HSPA1B,9.543210327868852,-2.0073651951219524,-11.405855796176468,8.008536828793955e-17,41,20,1.4783966284687048e-13
VTRNA1-3,6.175689836065574,2.678566292682926,11.40170279651947,8.132257784814102e-17,41,20,1.4783966284687048e-13
CHCHD2,12.31549836065574,-0.6175976829268262,-11.357527048804556,9.573881179413645e-17,41,20,1.6437822102765483e-13
ALKBH7,9.497624590163932,-1.1121682317073187,-11.284105720784947,1.256353869768747e-16,41,20,2.043558755010691e-13
C6orf136,6.104785573770491,-0.4996479146341466,-11.20083976599607,1.7111908876089947e-16,41,20,2.6442177190777987e-13
LOC100506190,11.914842622950822,0.4478480487804877,11.16856160236071,1.9293541070598581e-16,41,20,2.7207704661595534e-13
HSPA1A,9.2534331147541,-1.9022238292682925,-11.167525370319256,1.9368047324222674e-16,41,20,2.7207704661595534e-13
GABARAP,14.687714754098364,-0.5915887804878022,-11.117807702002844,2.3305720911620254e-16,41,20,3.006044735196213e-13
DGKH,6.065954754098359,0.7538971463414628,11.117365540616142,2.334414290396671e-16,41,20,3.006044735196213e-13
ZFP36,10.24508606557377,-3.293419658536587,-11.000385110675637,3.612385150387778e-16,41,20,4.465630522909371e-13
NDUFC1,7.248033934426228,-0.5813769634146384,-10.883408742285486,5.598764390685204e-16,41,20,6.654992826697162e-13
