gene,g,var_g,logFC,n_dn,n_ctrl
A1BG,0.11413731989681244,0.07261344296266531,0.01694181707317277,41,20
A1BG-AS1,-0.3871481986076123,0.07377324296174914,-0.06719610975609802,41,20
A1CF,-1.969372076609112,0.10537106201634716,-1.5592827926829278,41,20
A2M,0.5776540912524329,0.07533087449950808,0.2663403658536634,41,20
A2M-AS1,0.23614080335983703,0.07297560526112463,0.06630099999999928,41,20
A2ML1,-0.08373308278211228,0.0725624590758769,-0.007483109756097228,41,20
A2ML1-AS1,-0.11492557989874547,0.07261497314166392,-0.038783085365855285,41,20
A2ML1-AS2,0.9301899285477246,0.07983569699129575,0.1124049634146349,41,20
A2MP1,-0.30128630588441146,0.07327230830436232,-0.06270201219512206,41,20
A4GALT,-0.9085630994837216,0.07949869362326055,-0.1543718292682934,41,20
A4GNT,0.33630189905421565,0.07346150770431144,0.09012382926829288,41,20
AA06,-0.14122374843226976,0.07267206007561475,-0.027915292682926474,41,20
AAAS,-1.127596718550853,0.08327824831769433,-0.3109529024390234,41,20
AACS,-0.4303066189267733,0.07407222650926669,-0.06756537804878082,41,20
AACSP1,-0.23839146205103554,0.07298465619474669,-0.022712536585365317,41,20
AADAC,-0.18058390248958042,0.07277940243762411,-0.03456347560975637,41,20
AADACL2,-0.24951837560456766,0.07303066408106458,-0.0470651341463415,41,20
AADACL3,-0.5818247311187861,0.07537185558934513,-0.06447357317073044,41,20
AADACL4,-0.9222760966808041,0.07971145881618692,-0.512184231707316,41,20
AADAT,-0.4018093494085456,0.07387126860231692,-0.08895301219512142,41,20
AAED1,-0.41647296062105144,0.07397295481974357,-0.08860503658536523,41,20
AAGAB,0.08234926514504341,0.0725605113836543,0.019675573170736094,41,20
AAK1,0.7998859549953996,0.07792522443051,0.18134992682926665,41,20
AAMDC,-0.2769163062621868,0.07315289476673874,-0.04042984146341322,41,20
AAMP,-2.739538877985064,0.13610535767621135,-0.343024524390243,41,20
AANAT,0.24169495146150277,0.07299809653697674,0.02547406097561078,41,20
AAR2,-1.1996231525665537,0.08469876822012708,-0.22379291463414486,41,20
AARD,0.6602155607149974,0.07619697905433472,0.07476335365853615,41,20
