gene,k,pooled_g,se,adj.P.Val,I2,mean_logFC,g_GSE30528,g_GSE96804,g_GSE104948
HSPA1L,3,-2.01,0.245,0.0,0.0,-0.573,-1.738,-2.109,-2.063
ERVMER34-1,3,-1.951,0.243,0.0,0.0,-0.787,-1.845,-2.181,-1.561
LPL,3,-1.911,0.241,0.0,0.0,-1.784,-1.951,-1.829,-2.098
ZBTB10,3,-1.828,0.239,0.0,0.0,-0.678,-2.177,-1.692,-1.885
CCDC6,3,-1.74,0.235,0.0,0.0,-0.481,-1.491,-1.733,-2.061
MMP28,3,-1.732,0.235,0.0,0.0,-0.643,-2.204,-1.602,-1.68
SUCO,3,-1.7,0.233,0.0,0.0,-0.633,-1.573,-1.789,-1.616
CYP3A7,3,-1.603,0.23,0.0,0.0,-0.864,-1.339,-1.599,-1.938
SPTB,3,-1.595,0.231,0.0,0.0,-0.705,-1.678,-1.383,-2.185
ALB,3,-1.582,0.229,0.0,0.0,-2.332,-1.118,-1.696,-1.861
TNNI1,3,-1.579,0.23,0.0,0.0,-1.384,-2.031,-1.405,-1.658
CERS6,3,-1.568,0.229,0.0,0.0,-0.983,-1.561,-1.507,-1.74
FBXO3,3,-1.558,0.228,0.0,0.0,-0.648,-1.522,-1.46,-1.883
SLC6A2,3,-1.559,0.229,0.0,0.0,-0.667,-1.639,-1.37,-2.064
BAIAP2,3,-1.586,0.234,0.0,2.609,-0.598,-1.11,-1.635,-2.094
ZNF124,3,-1.665,0.247,0.0,7.325,-0.97,-2.324,-1.63,-1.261
AVPI1,3,-1.54,0.228,0.0,0.0,-0.648,-1.82,-1.416,-1.612
TIPARP,3,-1.524,0.227,0.0,0.0,-0.808,-1.519,-1.408,-1.865
FZD2,3,-1.531,0.229,0.0,0.0,-0.986,-1.874,-1.627,-1.045
NLK,3,-1.527,0.228,0.0,0.0,-0.971,-2.054,-1.432,-1.34
