gene,k,pooled_g,se,adj.P.Val,I2,mean_logFC,g_GSE30528,g_GSE96804,g_GSE104948
COL16A1,3,1.876,0.24,0.0,0.0,0.73,1.725,1.739,2.524
ISLR,3,1.729,0.235,0.0,0.0,0.725,1.861,1.607,1.938
CLEC2D,3,1.693,0.234,0.0,0.0,0.381,2.011,1.603,1.645
OSBPL3,3,1.596,0.23,0.0,0.0,0.661,1.462,1.493,2.075
TMEM243,3,1.59,0.229,0.0,0.0,0.53,1.428,1.691,1.516
LTBP1,3,1.587,0.229,0.0,0.0,0.708,1.186,1.659,1.893
FADS2,3,1.584,0.23,0.0,0.0,0.478,1.076,1.692,1.955
UBN1,3,1.574,0.229,0.0,0.0,0.264,1.611,1.737,1.182
DACT1,3,1.559,0.229,0.0,0.0,1.003,1.46,1.393,2.236
LUM,3,1.557,0.229,0.0,0.0,2.417,1.97,1.528,1.289
CROCC,3,1.619,0.24,0.0,5.515,0.263,1.552,1.914,1.102
FLNB,3,1.542,0.229,0.0,0.0,0.529,1.856,1.352,1.784
PDGFB,3,1.516,0.227,0.0,0.0,0.374,1.205,1.534,1.85
PTEN,3,1.471,0.226,0.0,0.0,0.566,1.396,1.32,2.041
WNT2B,3,1.464,0.225,0.0,0.0,0.562,1.14,1.446,1.933
PID1,3,1.665,0.257,0.0,12.179,0.691,1.906,1.367,2.225
LAMC3,3,1.467,0.226,0.0,0.0,0.446,1.629,1.238,2.013
UBR4,3,1.461,0.226,0.0,0.0,0.38,1.796,1.58,0.931
TRO,3,1.733,0.271,0.0,18.379,0.388,1.645,1.492,2.494
MFAP2,3,1.434,0.224,0.0,0.0,0.547,1.541,1.331,1.606
