gene,AveExpr,logFC,t,P.Value,n_dn,n_ctrl,adj.P.Val
ITGB2,5.896805839545359,1.506519974914819,13.480235743985617,8.888196068801976e-09,6,6,0.00013232746307232382
MYO1G,4.040192769150138,2.0064680335437974,12.661496059581808,1.8413735594543083e-08,6,6,0.00013707184776577872
SPN,3.0071588657185955,2.0707475364950483,11.74675963001024,4.367462896416655e-08,6,6,0.00021674262533950386
CORO1A,4.754964764350377,1.9234207307289042,11.25586489298221,7.110111273193444e-08,6,6,0.00026463834158826
ALOX5,4.756144336544471,1.9203223551533148,11.005769748112701,9.176767780402896e-08,6,6,0.0002732474374292766
C1QB,4.961267579570634,1.4549209025373981,10.67951937718687,1.289498122779298e-07,6,6,0.0003199674675323032
PIK3R5,3.8960371735486263,1.885410807354035,10.281434658326749,1.9758862273910887e-07,6,6,0.0003761044403291326
CMTM3,3.840630459403178,1.1160835257203647,10.183653087251558,2.1987390737114282e-07,6,6,0.0003761044403291326
MARCHF1,3.2368980970951036,1.7618854292556194,10.055068271387922,2.5336885732439084e-07,6,6,0.0003761044403291326
CD1E,1.314724434546189,1.8485949236767831,9.858583662061424,3.155539284900757e-07,6,6,0.0003761044403291326
FGD2,4.655742242393493,1.9958946747010278,9.857423146429552,3.159665070176751e-07,6,6,0.0003761044403291326
C1R,6.175988536973921,1.3588863722364142,9.836607521661998,3.2346571269056297e-07,6,6,0.0003761044403291326
FRMD7,3.87821270852082,-1.8057908320679457,-9.703065292830265,3.7634960657452504e-07,6,6,0.0003761044403291326
FGR,3.2480874710739567,1.829234794300993,9.699055557290588,3.780742067593973e-07,6,6,0.0003761044403291326
HSH2D,2.4214840111242277,2.338292934409136,9.697064261883272,3.789338127980245e-07,6,6,0.0003761044403291326
CSF1R,6.49933615956974,1.4038061161516016,9.560427939579858,4.4322335226458266e-07,6,6,0.00041241932928219415
IKZF1,3.90566751322598,1.6627795822572997,9.505903916787476,4.7205572726252724e-07,6,6,0.0004134097451461474
MAP4K1,4.2637415359384825,1.5745833177588344,9.410568101859058,5.274063605657952e-07,6,6,0.0004362236608946421
ELF3,5.021066326477409,1.4157896255037565,9.254365229774445,6.336661355303824e-07,6,6,0.0004965274434619122
CCL21,3.2244587782659018,2.2801978668231038,9.127124879151822,7.371587835284084e-07,6,6,0.0005096119860598798
C1QC,4.661927579443786,1.410345482512799,9.119935880043897,7.435220857449714e-07,6,6,0.0005096119860598798
CD1D,1.823826992442945,2.1214674712079082,9.072068464062278,7.874188191389819e-07,6,6,0.0005096119860598798
RUNX1,5.258101170935567,1.9239711249631792,9.025557919270213,8.327356730770147e-07,6,6,0.0005096119860598798
GFI1,1.9589660379472422,1.5904592770787804,9.015472297122233,8.429257431321474e-07,6,6,0.0005096119860598798
ACAP1,3.979107381567383,2.313950174914106,8.976129120362474,8.839695035043995e-07,6,6,0.0005096119860598798
RASAL3,4.135851174535228,1.9326553436057572,8.970538970570342,8.899725710341801e-07,6,6,0.0005096119860598798
C1RL,5.37328771553299,1.6934365826406248,8.84148504052057,1.0414055507566718e-06,6,6,0.0005742387348024196
PLEKHA4,4.912466697948228,1.4616469636756229,8.806663778735368,1.086828206517797e-06,6,6,0.0005778820835227486
C1QA,5.075369506372034,1.0639060100571465,8.749605089679797,1.165899002052502e-06,6,6,0.0005888125395499812
COL7A1,7.137470231281998,1.7450658699369814,8.710652926478767,1.2233966897286389e-06,6,6,0.0005888125395499812
THEMIS2,3.691999514255579,1.9765741400818966,8.700329220859734,1.2391384764212938e-06,6,6,0.0005888125395499812
VCAN,8.03598065086831,2.191589233918383,8.673720973602986,1.2807177501821221e-06,6,6,0.0005888125395499812
HCK,3.9614039901557923,1.4089293406471959,8.628000425536733,1.3556844610455116e-06,6,6,0.0005888125395499812
CARD11,4.252233675976939,2.0076753596194057,8.614529257812277,1.3786568600519282e-06,6,6,0.0005888125395499812
TRIM22,6.129912785823863,0.8990886249877033,8.572189912202226,1.453606674965448e-06,6,6,0.0005888125395499812
TBC1D10C,2.6401948619390403,2.440746199028679,8.555494076983042,1.4843483682357465e-06,6,6,0.0005888125395499812
RHBDF2,4.715291994787791,1.423167553702811,8.502921222691622,1.5857717511404822e-06,6,6,0.0005888125395499812
EOMES,2.2439931592744955,1.6530369020706672,8.492820698710632,1.606091975432313e-06,6,6,0.0005888125395499812
LDLRAD4,4.437757069217283,1.174373334969021,8.489901995699931,1.6120154805796412e-06,6,6,0.0005888125395499812
ICAM1,4.54110990956037,1.3139841562287309,8.485348236966544,1.6213039807165883e-06,6,6,0.0005888125395499812
IRF4,2.4402461377487206,1.9844300602238876,8.475685204505066,1.6412039754020766e-06,6,6,0.0005888125395499812
CCND2,4.264890490557625,1.7726870099949612,8.461482535064713,1.670927792943037e-06,6,6,0.0005888125395499812
NNMT,3.9080544124768974,2.295333729679884,8.441865676587286,1.712931691865424e-06,6,6,0.0005888125395499812
CD52,1.8731505884826343,1.865321240900486,8.416718898584456,1.7684328071304447e-06,6,6,0.0005888125395499812
FCHO1,3.101208573849874,2.2054580043477987,8.401758155459316,1.8023610694874916e-06,6,6,0.0005888125395499812
TGFB1,5.456096462997497,0.9709526537945763,8.3653599518442,1.8878423589435044e-06,6,6,0.0005888125395499812
ARPC1B,5.049000528458746,1.2573191499493754,8.363344173889733,1.8927012237170009e-06,6,6,0.0005888125395499812
FBLIM1,4.916888138410141,1.6043614877429064,8.360997439577618,1.8983746573347057e-06,6,6,0.0005888125395499812
SLC15A3,4.452185978474807,1.16225963808989,8.27335144637425,2.123824824235412e-06,6,6,0.0006355276047645107
CLDN4,2.9668668007377015,1.6964615222268402,8.269501382740044,2.1343619182042946e-06,6,6,0.0006355276047645107
HOPX,2.1307239053588742,1.8254884563138412,8.250981676124555,2.18583346629239e-06,6,6,0.0006380919342384529
JAK3,5.5046758552721125,2.1293602069246065,8.233791714199047,2.234796031154072e-06,6,6,0.0006398392944581121
IL27RA,3.052710530654912,1.4869966347681012,8.207433000590548,2.3121614849525183e-06,6,6,0.0006455045849215893
ARHGAP45,5.421887313838475,1.8099878373224962,8.197749183875388,2.341298198936447e-06,6,6,0.0006455045849215893
LHFPL6,4.04077967147646,1.2020640820363604,8.176350594140441,2.40708115076793e-06,6,6,0.0006489181116599285
DOK1,3.7741997657103465,0.9932228793919093,8.16560617394155,2.4408526499836105e-06,6,6,0.0006489181116599285
TCIRG1,6.496711646934713,1.0584905865888938,8.110473351614132,2.6222820344764667e-06,6,6,0.0006849216654260638
IKZF3,3.093507411635627,2.254646831615525,8.072393013265856,2.755966522690103e-06,6,6,0.0006870525757076383
S1PR4,1.176360059312934,1.7124423904662198,8.03700930636596,2.8867139835433206e-06,6,6,0.0006870525757076383
CDKN1A,3.7949122993306688,1.5306589590069901,8.034541712109906,2.8960756127214452e-06,6,6,0.0006870525757076383
MS4A7,4.795917557342428,1.318685455110428,8.017723364944697,2.960750413036623e-06,6,6,0.0006870525757076383
NFKBIE,3.7199228076660193,1.034875969769991,8.009028722754302,2.9947880954345307e-06,6,6,0.0006870525757076383
PSTPIP1,3.6164034841383312,2.3585980246207283,8.004537596013735,3.0125331583918495e-06,6,6,0.0006870525757076383
SIPA1,5.955413045770217,0.9740192309699802,7.99985501087579,3.031154174877297e-06,6,6,0.0006870525757076383
IL10RA,6.508935896752887,1.3608063892504179,7.993588009853858,3.0562681861996887e-06,6,6,0.0006870525757076383
CLCF1,3.5643369865827395,1.2486853492335013,7.992937764203614,3.0588866212831006e-06,6,6,0.0006870525757076383
ARL4C,3.0241454550588927,1.9450039927934508,7.973701775959323,3.1374392764401158e-06,6,6,0.0006870525757076383
CH25H,1.7111010727329505,2.335873660477975,7.973549589438512,3.1380692603519214e-06,6,6,0.0006870525757076383
KCNA3,2.566956902961946,1.8981325036205214,7.932051208385885,3.3149929785579526e-06,6,6,0.0007112071464344616
LRRK1,6.1398105321216,1.3305819291552536,7.925488099442095,3.343934729339892e-06,6,6,0.0007112071464344616
ZNF831,2.443431518009883,2.041577120732616,7.886498949331333,3.5215166829000155e-06,6,6,0.0007384273292255695
HELZ2,5.826034085405606,1.0254756152076459,7.8725480833361505,3.5874781364596677e-06,6,6,0.0007418107568834936
ADAMTS17,5.41093861596719,-1.9189894699266041,-7.784578230048182,4.034955517068079e-06,6,6,0.0008228965129926918
ITGAL,5.480958448360847,1.9192091372684361,7.774451896662835,4.090162678765394e-06,6,6,0.0008228965129926918
MYO1F,5.915296487360403,1.59943185284326,7.763004453032488,4.153543252898431e-06,6,6,0.0008243730512659002
COL16A1,7.1233998677512815,1.544041632403065,7.753273203630505,4.2082450225825095e-06,6,6,0.0008243730512659002
NCKAP1L,5.951474094300561,1.310648569223594,7.702573970497635,4.505931041704339e-06,6,6,0.0008673151890590919
LST1,2.9983817878862724,1.758077641306691,7.682753337809127,4.628341702307055e-06,6,6,0.0008673151890590919
SOX4,4.855553606061918,1.3189321493571544,7.670747729093161,4.704206501229214e-06,6,6,0.0008673151890590919
CD14,4.316839262195729,1.2482441127363941,7.653243175516393,4.817202967373935e-06,6,6,0.0008673151890590919
AGAP2,3.351633347527743,1.7659538739020477,7.644541680793578,4.874446124185532e-06,6,6,0.0008673151890590919
TIMP1,5.022515482822753,1.8144137687995228,7.641462862990295,4.894873446428695e-06,6,6,0.0008673151890590919
LYZ,4.532857637664127,2.0094462337418433,7.64031256066005,4.902528848606019e-06,6,6,0.0008673151890590919
CD37,3.9641585051804227,1.9550405930175847,7.635225218089083,4.936538989424314e-06,6,6,0.0008673151890590919
JAML,5.037259038597713,1.9453210709747335,7.624803874047959,5.006995484490455e-06,6,6,0.0008673151890590919
MICALL2,5.669315392643498,1.5164049263124504,7.62436072014127,5.0100151974128086e-06,6,6,0.0008673151890590919
CEMIP,3.0506292482495225,2.8142470183223525,7.602922665234338,5.1584391233998895e-06,6,6,0.0008827453065422707
SERPINE1,3.493452064676728,1.915596223804093,7.590046876778582,5.249828690047523e-06,6,6,0.0008881755629253126
AKAP12,8.073086003244425,1.047488035553867,7.5642691335975805,5.438016213065646e-06,6,6,0.0009096762402260823
DGKA,5.5067738793152,1.2069896277163563,7.5419576278626606,5.606701780157384e-06,6,6,0.0009274730678109236
EMILIN1,5.9740959873161765,1.4189044701823015,7.528490126755588,5.7112122225857065e-06,6,6,0.0009343794238445715
TMC8,4.957840434288231,1.7980822168491137,7.515500899803979,5.813978191304269e-06,6,6,0.0009408533403493256
SPI1,3.927017213372404,1.7103365167192868,7.490003955732067,6.021470124646904e-06,6,6,0.0009528511711778244
SLAMF8,2.0955933404769973,1.7716159961410922,7.485753382085524,6.056820935836729e-06,6,6,0.0009528511711778244
FMNL1,5.344438551832737,1.570479806255717,7.482966044842259,6.080122330863334e-06,6,6,0.0009528511711778244
ITGAX,5.860464730911951,2.0707970850693407,7.453549840575887,6.331934764306312e-06,6,6,0.0009819775496978371
GRAP2,2.7093758611391237,1.5079982113103738,7.429480249706851,6.546235513928399e-06,6,6,0.0010047459209419176
CD6,3.118462961400533,1.898710389135708,7.416174559428309,6.668003033890464e-06,6,6,0.001006012118092397
INPP5D,6.417461459147996,0.9944573227765501,7.4095608485747135,6.729423538111745e-06,6,6,0.001006012118092397
UBASH3A,2.6517689051023194,1.9460035081023745,7.406481772588668,6.758223602480399e-06,6,6,0.001006012118092397
TNFRSF1B,4.569486163074798,1.301912463513061,7.399419904144187,6.824773235312472e-06,6,6,0.001006012118092397
SEPTIN1,3.181024785654051,1.8249027959807087,7.387028925504424,6.9432345983269575e-06,6,6,0.0010134399676459975
KIF21B,4.620637088114342,1.4690075723517206,7.3643512149048815,7.165744355598287e-06,6,6,0.0010348244661541744
LOXL1,4.719218888577433,1.2469018755959436,7.3503731670448715,7.306664917722821e-06,6,6,0.0010348244661541744
SDC3,4.615528676565136,1.109141109837764,7.338080130551309,7.433035889642674e-06,6,6,0.0010348244661541744
IRF7,3.7746238326088033,1.1446970046117046,7.334954250447626,7.4655390434365136e-06,6,6,0.0010348244661541744
DEF6,3.990324882193517,1.6320924413396196,7.331652485123148,7.500035353720284e-06,6,6,0.0010348244661541744
PARVG,4.701673604814597,1.8184008476534284,7.328418675754313,7.533986109220112e-06,6,6,0.0010348244661541744
MPEG1,5.478523850224787,1.5028944641851982,7.324410469178855,7.576294116792384e-06,6,6,0.0010348244661541744
SMPDL3A,5.42321140265413,-1.226377337684804,-7.315180828743311,7.674680340943218e-06,6,6,0.001038733099236024
DOCK2,6.629958267123786,1.4215000357361047,7.276563387826456,8.101320065362305e-06,6,6,0.001086598676874901
CD28,2.2712077907536767,1.2662428142398372,7.23904463949114,8.540055017898765e-06,6,6,0.001135217313450686
CSF2RB,4.451283557728157,1.3097171265525418,7.219574562141692,8.777631182740901e-06,6,6,0.00115291759895765
MEGF11,2.184159712273975,2.9190784959875744,7.215511477971736,8.828090158595654e-06,6,6,0.00115291759895765
ARHGAP9,4.3681259626247355,1.861421084969213,7.200954331805566,9.011421177336679e-06,6,6,0.0011666264216364216
CST7,1.4732181651761473,1.1943603450991533,7.160186740142287,9.54672135550026e-06,6,6,0.001220161247912113
MRO,4.614534996926011,-2.387282402728228,-7.150095025775814,9.684385060752715e-06,6,6,0.001220161247912113
