gene,g,var_g,logFC,n_dn,n_ctrl
A1CF,-1.5281822318125835,0.40079071532043775,-2.0783646569960137,6,6
A2M,2.255688826633085,0.5384302727689205,0.8828846894407842,6,6
A3GALT2,-1.5278888695868558,0.4007458885294233,-0.9132123882279937,6,6
A4GALT,1.7949043455965938,0.44510774913113016,0.42538348112725455,6,6
AAAS,-1.2126649995015264,0.35755148868985515,-0.14753894881613494,6,6
AACS,0.028016421095945133,0.28406291463160455,0.00880610214521571,6,6
AADACL4,0.3861418571156277,0.2914789453298886,0.3363387964140727,6,6
AADAT,-1.0942679626927556,0.343894787347841,-0.6673681472039599,6,6
AAGAB,-0.7412477404618066,0.31149607927604,-0.3106980986037593,6,6
AAK1,1.510418795674364,0.3980919155553731,0.3280094854973701,6,6
AAMDC,-1.114052127428469,0.34607927577044817,-0.7268052408278467,6,6
AAMP,-0.561839287340924,0.29980683787904117,-0.17355021337742116,6,6
AAR2,0.25033783950356475,0.28715712033341895,0.0777577746579512,6,6
AARS1,-1.1079635341441922,0.3454028282887177,-0.24967596068011488,6,6
AARS2,-0.16487174095640442,0.2853828031873531,-0.03470608142061682,6,6
AARSD1,1.3538016279837766,0.3756626110356295,0.892822066863482,6,6
AASDH,-1.5261069462722145,0.4004737892120685,-0.775496914355486,6,6
AASDHPPT,-1.2029666831065517,0.3563801106722722,-0.5802251362235644,6,6
AASS,-1.0994364124896612,0.3444616898944601,-0.3876141017034298,6,6
AATF,-0.8173136107988211,0.3174237455589036,-0.14758938417213496,6,6
AATK,-0.23747017291440908,0.28684327279025323,-0.18863909530636658,6,6
ABAT,-1.3932277882705586,0.3810778521395169,-0.9136524035563234,6,6
ABCA1,0.6457887497731347,0.30487582410573066,0.14145144286974265,6,6
ABCA10,-0.9942023296764387,0.3334455822557562,-0.593914674679823,6,6
ABCA12,1.7359630696360289,0.4347020575960605,1.8361690452626565,6,6
ABCA13,0.4479401710274774,0.29405618848005954,1.1545108466377503,6,6
ABCA2,0.541303209674527,0.29867412687925055,0.13231406692666425,6,6
ABCA3,0.14131690015575954,0.2850221919525349,0.06664952968611715,6,6
ABCA4,-0.19087205063404575,0.28584527562471557,-0.24230227813840344,6,6
ABCA5,-3.350444246848553,0.8452975012010817,-0.9670202477699403,6,6
ABCA6,-0.6695694639200911,0.3064398319897652,-0.23756390529017768,6,6
ABCA7,3.452689502834934,0.8800769087883805,0.9204212773806484,6,6
ABCA8,-0.5382865989266451,0.29851129176825403,-0.2560670630039734,6,6
ABCA9,-1.2142320615370648,0.3577416436022808,-0.38250874544132785,6,6
ABCB1,-0.7692660114465628,0.31361217845739847,-0.3237478756689782,6,6
ABCB10,-0.8324100025944348,0.31866898926001663,-0.19475181761084226,6,6
ABCB4,-1.1672437467435048,0.352146566854644,-0.9166634678075885,6,6
ABCB6,0.5250612735872487,0.2978081356901065,0.17230267388311193,6,6
ABCB7,-1.938590607555661,0.47193034582420457,-0.6380940027194955,6,6
ABCB8,1.1608959465080124,0.35140763856999,0.17777586623369412,6,6
