gene,k,pooled_g,se,z,P.Value,tau2,Q,I2,mean_logFC,n_up,n_down,dir_consistent,studies,adj.P.Val,g_GSE142025,g_GSE162830,g_GSE166239,stouffer_z,stouffer_p,is_IEG
TACC2,3,-1.7186190138451325,0.28383990049143426,-6.054888727305614,1.4051476034849211e-09,0.0,0.4192199971955796,0.0,-0.9506128329530071,0,3,True,"GSE142025,GSE162830,GSE166239",2.4483291843121266e-05,-1.9292117108708704,-1.6234921399827669,-1.475715373704964,-6.0335069958276675,1.604390412996223e-09,False
CPNE8,3,-1.6357901002723765,0.2838667481233613,-5.7625280561621235,8.286326289545986e-09,0.004187515903610527,2.033922051221276,1.667814713002767,-1.531272492642615,0,3,True,"GSE142025,GSE162830,GSE166239",4.096610562157265e-05,-2.1434824891621584,-1.269856090209967,-1.4454678044436633,-6.041415314718047,1.5276818386683999e-09,False
IP6K3,3,-1.6051597875750592,0.27965865696395353,-5.739710706620305,9.48384182369512e-09,0.0,0.025965756228186202,0.0,-2.39061340000273,0,3,True,"GSE142025,GSE162830,GSE166239",4.096610562157265e-05,-1.628428637151876,-1.5502100591827124,-1.6641029904363434,-5.975273005289783,2.297051796451997e-09,False
GOLGA4,3,-1.7132091725807037,0.3003926650689042,-5.703232374824222,1.1755654735299774e-08,0.023591668215599326,2.1819284877714304,8.33796748110878,-1.6373577538220072,0,3,True,"GSE142025,GSE162830,GSE166239",4.096610562157265e-05,-2.153681043818932,-1.2401667011189943,-1.8851421103600756,-5.951229195205628,2.661360846202066e-09,False
MAGI2,3,-1.5714694227420185,0.27798518915267634,-5.653068883029335,1.5760810601396407e-08,0.0,1.681886607486973,0.0,-1.5209879947023406,0,3,True,"GSE142025,GSE162830,GSE166239",4.576939398645517e-05,-2.0295784857257457,-1.29994298067101,-1.2655301480980303,-5.9139288785110224,3.340421684020003e-09,False
F3,3,-1.5526427608326643,0.2770737986906814,-5.6037155738641236,2.0980488744243957e-08,0.0,1.7874527016894697,0.0,-1.8971141677608048,0,3,True,"GSE142025,GSE162830,GSE166239",4.9956515733501594e-05,-1.840346238430648,-1.6584455902455817,-0.902352914432012,-5.900020893215632,3.6345554451193694e-09,False
ASPA,3,-1.570695872027514,0.28107113336963024,-5.588250394827731,2.293687591069862e-08,0.0,1.3256008909227621,0.0,-1.6688765170162811,0,3,True,"GSE142025,GSE162830,GSE166239",4.9956515733501594e-05,-1.5495563401274977,-1.3320658216006416,-2.325150234203808,-5.832480243910042,5.460947246054569e-09,False
PPP1R21,3,-1.5444919123616974,0.27888483037891443,-5.538099402047905,3.057717095816689e-08,0.0,1.36493512312421,0.0,-1.5665086887591808,0,3,True,"GSE142025,GSE162830,GSE166239",5.1542093894956794e-05,-1.736028215975903,-1.178503550036155,-2.007558333128355,-5.618063027214601,1.9311006201711793e-08,False
PDZD8,3,-1.674962525382241,0.30336515979452977,-5.521275173842305,3.3654823861224255e-08,0.03443027683962438,2.278570773104961,12.225680079506967,-1.3816604840709428,0,3,True,"GSE142025,GSE162830,GSE166239",5.1542093894956794e-05,-2.2286088481060977,-1.4031601630032913,-1.259852911995215,-6.001308959911418,1.9573314188710974e-09,False
NEBL,3,-1.5245662824481019,0.27659523102627237,-5.511903718626628,3.549730984501157e-08,0.0,1.0218865649663729,0.0,-1.8534177711162574,0,3,True,"GSE142025,GSE162830,GSE166239",5.1542093894956794e-05,-1.8218024232863232,-1.2055138422245208,-1.5888042823495074,-5.777496139949577,7.58204607862002e-09,False
