gene,k,pooled_g,se,z,P.Value,tau2,Q,I2,mean_logFC,n_up,n_down,dir_consistent,studies,adj.P.Val,g_GSE30528,logFC_GSE30528,g_GSE96804,logFC_GSE96804,g_GSE104948,logFC_GSE104948,stouffer_z,stouffer_p
C1orf21,3,-2.9338813548372302,1.0611790294737604,-2.7647374037273846,0.005696863603279094,3.005341665283937,20.344963747046094,90.1695573171499,-1.4669956773141501,0,3,True,"GSE30528,GSE96804,GSE104948",0.041288543463538906,-3.958223379645641,-2.129406077205128,-1.228017309942844,-0.8161804146341467,-3.86592413988392,-1.4554005401031755,-8.954731301225703,3.405640510605813e-19
CCDC91,3,-2.8310602814423693,0.9532188850534231,-2.970000202297401,0.0029779955293912017,2.3747541747099805,17.23756778068025,88.39743503580833,-1.3045473236286336,0,3,True,"GSE30528,GSE96804,GSE104948",0.02543688593502394,-3.859927784783907,-1.8673530402564105,-1.3047956194341337,-0.9880889024390171,-3.591838060150114,-1.058200028190473,-8.950318860552958,3.5445697779577886e-19
PRKAR2B,3,-2.6197217646978226,0.7000569466189352,-3.7421552308712767,0.00018244875046534879,1.1638599466443815,10.29184606943884,80.56714037009446,-1.7778595425538075,0,3,True,"GSE30528,GSE96804,GSE104948",0.00283582553578705,-3.7159946039060783,-3.016106490940171,-1.5388753808016131,-1.178188268292681,-2.94090391654009,-1.1392838684285709,-9.134045304546119,6.59864022572358e-20
CA10,3,-2.4240683665997955,0.7458472427105612,-3.250086918321553,0.0011536974116936884,1.3649148158085371,12.521529263827244,84.0275100759642,-1.6428470183706623,0,3,True,"GSE30528,GSE96804,GSE104948",0.012216967955617272,-4.206771740786317,-2.54676300008547,-1.3231424749239529,-0.9306335487804852,-2.1896719225259456,-1.451144506246031,-8.401469955089683,4.409239963909289e-17
FBXO21,3,-2.2616187459725072,0.5803932941920276,-3.8967003385539347,9.751214889934871e-05,0.7533388588838265,8.502767417684662,76.47824641374693,-0.7996404321951517,0,3,True,"GSE30528,GSE96804,GSE104948",0.0017276667710809815,-1.6358072402114336,-0.4125062403589744,-1.694218441993505,-0.9670362195121937,-3.9102382388006576,-1.0193788367142869,-8.643153741302324,5.468226072065231e-18
XYLT1,3,-2.233233423143375,0.7133878243169154,-3.1304619269073526,0.001745316215180836,1.2519630932001653,12.797822945638591,84.37234201086063,-0.9219251272959439,0,3,True,"GSE30528,GSE96804,GSE104948",0.01681181101249492,-1.641219448611127,-1.1701674834188034,-1.3106449572322785,-0.6233450853658526,-4.212235551635545,-0.9722628131031756,-8.050591102928431,8.23951159617536e-16
DPP6,3,-2.1627627484245355,0.5064041141822904,-4.270823810183354,1.9475222582332047e-05,0.5225385051378556,6.462905292383933,69.05416512358838,-1.793612256476121,0,3,True,"GSE30528,GSE96804,GSE104948",0.0004656580322863393,-3.407533131525521,-2.81814717482906,-1.5214510759812123,-1.3676350731707334,-1.989638515015456,-1.1950545214285704,-8.409057294249164,4.1331919144612646e-17
ARHGAP19,3,-2.1544697243866526,0.611233445532207,-3.524790307426215,0.00042381813768629196,0.8567475368434792,9.352668173667508,78.61572801619316,-1.376553188479402,0,3,True,"GSE30528,GSE96804,GSE104948",0.005537774889972469,-3.84752811168174,-2.138996193931624,-1.4155945515696853,-1.2304509756097577,-1.68233632056515,-0.7602123958968239,-8.090075580214275,5.962772001819521e-16
MPP5,3,-2.1248458372404757,0.6860434848486684,-3.0972465800898714,0.0019532732488311854,1.1360108584835724,11.841570687706009,83.11034867970334,-1.1574213881615347,0,3,True,"GSE30528,GSE96804,GSE104948",0.018335853031081647,-4.1124280445376105,-1.658311953803419,-1.2745611735679476,-1.0999109756097545,-1.5060953255888485,-0.7140412350714307,-7.700935327057478,1.3507384483484148e-14
NPHS1,3,-2.066969154740713,0.6323151391091104,-3.2688908218344,0.001079699538897806,0.9374210514810658,10.318512698719374,80.61736164507295,-1.8074736466898955,0,3,True,"GSE30528,GSE96804,GSE104948",0.011562086715374247,-3.916335192427341,-2.9627307111111114,-1.3747591995446515,-1.6144326829268287,-1.4110465087932829,-0.8452575460317462,-7.82062745489504,5.256068382453837e-15
