gene,k,pooled_g,se,z,P.Value,tau2,Q,I2,mean_logFC,n_up,n_down,dir_consistent,studies,adj.P.Val,g_GSE30528,logFC_GSE30528,g_GSE96804,logFC_GSE96804,g_GSE104948,logFC_GSE104948,stouffer_z,stouffer_p
ENTPD1,3,2.696962955203651,0.9812626590278268,2.748461821502137,0.005987560754265811,2.4995353901222037,21.53948148932585,90.71472541717812,0.6310246441315895,3,0,True,"GSE30528,GSE96804,GSE104948",0.042789316853948746,1.49571978961263,0.4881625019658119,1.2994438109018556,0.4544427926829257,6.130601915398891,0.950468637746031,8.325109417144333,8.42508842128651e-17
TGFBI,3,2.6166189460888667,0.8665215107705192,3.019681466144036,0.002530406568877623,1.9074994162057533,17.050025891400757,88.2698125343686,1.635429599840963,3,0,True,"GSE30528,GSE96804,GSE104948",0.022358226305183023,1.5556292046465103,1.3278603685128203,1.535068233341651,1.1822861097560988,5.455635789845288,2.3961423212539694,8.932227427610348,4.1751608475623306e-19
IGFBP6,3,2.5474415482599464,0.873501226799612,2.916357149941759,0.003541448528356413,1.9544397987705315,17.393496192070476,88.50144917436565,1.2897825670588907,3,0,True,"GSE30528,GSE96804,GSE104948",0.028860660432761052,1.7360895399964793,0.8292663203162393,1.3230500082347136,1.1297054878048778,5.183996996152671,1.910375893055555,8.504968222834044,1.8164534033358898e-17
ACTN1,3,2.3525288887694145,0.7655818017547655,3.072864171245004,0.0021201496601605794,1.4765671111055845,13.521796880658181,85.20906638628158,1.1199618110953673,3,0,True,"GSE30528,GSE96804,GSE104948",0.01955368021108445,2.786007204281294,1.2355086372222224,1.1396360238267955,0.8150007926829277,3.38966005727231,1.3093760033809518,8.05447720999778,7.981922660816303e-16
C1QA,3,2.340485565892711,0.819358380976878,2.8564857823291843,0.004283591885992517,1.7269876969409068,15.335932056207469,86.95873199835631,1.6060747502069699,3,0,True,"GSE30528,GSE96804,GSE104948",0.033189404848949895,3.2526319624482727,1.922276208034188,1.025308196493162,0.4267460609756099,2.9850880724312603,2.4692019816111115,7.835764837695832,4.659973165710455e-15
GPR18,3,2.3091709472514226,0.6472056878848261,3.5679089205754204,0.0003598415334854166,0.9880540605226386,10.565259369111102,81.07003406042962,1.223759181318349,3,0,True,"GSE30528,GSE96804,GSE104948",0.004855583223993091,1.3729313434230823,1.4011660790427347,1.8281830324233972,1.0714757073170746,4.203293014498291,1.1986357575952375,8.926729123960023,4.387901338210563e-19
SRPX2,3,2.132904142926616,0.5538925445266579,3.850754381879864,0.0001177545496247957,0.6761626123716142,8.027895282395418,75.08686985011063,0.9749348644100975,3,0,True,"GSE30528,GSE96804,GSE104948",0.002000419918725613,1.6953075031169802,0.4817980244273504,1.5031574487817765,0.6486415243902455,3.6168357554155146,1.7943650444126966,8.249769347677477,1.5870053027166067e-16
MS4A6A,3,2.125796860574343,0.7058748506012964,3.0115775604747674,0.0025989399896396625,1.2375424851937513,12.602594282072037,84.13025163521195,1.7752856177533864,3,0,True,"GSE30528,GSE96804,GSE104948",0.02272429278706122,2.283802324956172,1.8690373711111112,1.0281635493648782,1.4020441829268275,3.341322779791589,2.054775299222221,7.554328028987041,4.2102784681178396e-14
STAB1,3,2.0913974363930237,0.6663615621488918,3.1385325252685,0.0016979608997055532,1.0816125761265838,11.376639750194045,82.42011662568565,0.5806995062900822,3,0,True,"GSE30528,GSE96804,GSE104948",0.016504799262183463,2.359944637641088,0.8587539550940171,1.05153888681256,0.2186653292682931,3.129221684919295,0.6646792345079362,7.359810230230739,1.8417186102164086e-13
MRAS,3,2.085423527178729,0.637341652053246,3.2720653364806367,0.0010676490007575975,0.9760896790957967,11.216513656709024,82.16914755144327,0.42538668207517083,3,0,True,"GSE30528,GSE96804,GSE104948",0.011457521826922137,0.9666615803995262,0.2329229594444444,1.902662518302685,0.3404414878048785,3.7289928100800607,0.7027955989761896,8.272449113639162,1.3123488078627107e-16
